,open_time,close_time,Open,High,Low,Volume
328,1600272000000,1600275599999,315.00000000,317.35000000,313.48000000,125.78128000
329,1600275600000,1600279199999,314.49000000,314.85000000,312.31000000,58.96238000
330,1600279200000,1600282799999,314.23000000,315.04000000,310.35000000,189.79180000
331,1600282800000,1600286399999,312.01000000,312.93000000,310.67000000,27.34429000
332,1600286400000,1600289999999,310.93000000,312.63000000,310.00000000,79.50929000
333,1600290000000,1600293599999,311.02000000,312.48000000,310.28000000,115.08242000
334,1600293600000,1600297199999,311.96000000,313.48000000,310.70000000,167.61179000
335,1600297200000,1600300799999,313.57000000,313.57000000,310.70000000,7.80446000
336,1600300800000,1600304399999,310.38000000,324.83000000,309.44000000,519.28784000
337,1600304400000,1600307999999,323.40000000,328.41000000,322.81000000,245.01087000
338,1600308000000,1600311599999,323.15000000,326.48000000,320.50000000,144.27130000
339,1600311600000,1600315199999,324.83000000,325.81000000,321.73000000,62.98225000
340,1600315200000,1600318799999,322.79000000,324.47000000,322.15000000,110.75836000
341,1600318800000,1600322399999,323.82000000,326.40000000,323.60000000,158.65499000
342,1600322400000,1600325999999,324.80000000,325.77000000,322.41000000,277.93158000
343,1600326000000,1600329599999,323.79000000,326.58000000,323.38000000,114.62056000
344,1600329600000,1600333199999,324.25000000,325.16000000,322.08000000,81.42068000
345,1600333200000,1600336799999,322.16000000,323.32000000,320.36000000,77.94850000
346,1600336800000,1600340399999,322.75000000,324.13000000,319.21000000,147.18194000
347,1600340400000,1600343999999,323.61000000,327.10000000,322.95000000,189.82356000
348,1600344000000,1600347599999,326.78000000,326.87000000,321.00000000,92.64359000
349,1600347600000,1600351199999,322.46000000,323.93000000,320.18000000,171.08150000
350,1600351200000,1600354799999,324.00000000,324.83000000,320.94000000,85.69041000
351,1600354800000,1600358399999,324.75000000,326.00000000,322.21000000,169.39991000
352,1600358400000,1600361999999,324.00000000,324.28000000,321.84000000,140.68558000
353,1600362000000,1600365599999,324.06000000,325.53000000,323.87000000,65.57039000
354,1600365600000,1600369199999,324.35000000,330.00000000,324.35000000,195.78629000
355,1600369200000,1600372799999,329.20000000,331.30000000,327.88000000,114.62241000
356,1600372800000,1600376399999,330.56000000,334.34000000,330.56000000,276.72665000
357,1600376400000,1600379999999,333.32000000,334.42000000,332.11000000,172.75082000
358,1600380000000,1600383599999,333.42000000,333.61000000,328.10000000,139.97738000
359,1600383600000,1600387199999,329.03000000,331.51000000,328.97000000,87.69673000
360,1600387200000,1600390799999,330.55000000,332.74000000,327.82000000,36.97020000
361,1600390800000,1600394399999,328.44000000,328.89000000,326.71000000,22.57869000
362,1600394400000,1600397999999,328.03000000,329.03000000,328.00000000,6.11775000
363,1600398000000,1600401599999,328.75000000,328.75000000,327.78000000,1.52755000
364,1600401600000,1600405199999,328.25000000,328.57000000,324.73000000,75.28912000
